Question,Option 1,Option 2,Option 3,Option 4,Correct Answer
"In an effort to improve ________, the grocery chain Safeway implemented data-sharing programs with PepsiCo and other key vendors.","Data analysis","Product quality","Supply chain visibility","Manufacturing visualization","Supply chain visibility"
"_________________ are the single best way our brain processes information.","Configurations","Pattern mapping","Spreadsheets","Visuals","Visuals"
"________ harness the power of analytics and adds a visual display to capitalize on how our brains work.","Configurations","Data visualizations","Drill downs","Geospatial analysis","Data visualizations"
"In general, ________ tools show what has already happened in a business and ________ tools show what might or could happen in the future.","Data; statistical","Data discovery","Reporting; analytical","Sensitivity; modeling","Reporting; analytical"
"Dashboard and interactive reports are _________ tools and technologies.","Data analytics","Data integration","Geospatial","Information delivery","Information delivery"
"Data visualization, data discovery, and geospatial tools are _________ tools and technologies.","Data analytics","Data integration","Data mapping","Information delivery","Data analytics"
"Data mashups and GIS are _________ tools and technologies.","Data analytics","Data integration","Geospatial","Information delivery","Data integration"
"Which of the following statements is false?","Data visualization is replacing the need for humans to interpret data.","Learning is the basis for continuous improvement.","Data discovery is discovering hidden relationships.","Enterprise visualization apps for Androids, iPads, and Playbooks are replacing static business reports.","Data visualization is replacing the need for humans to interpret data."
"A common mistake is to invest in the data analytics foundation of tools, quality data, and data integration, but overlook the most crucial component, which is ____________.","Mobile devices for anywhere access.","Easy to use touch screens.","Cloud storage.","Users’ ability to interpret the visual reports and analyses correctly.","Users’ ability to interpret the visual reports and analyses correctly."
"According to Gartner Research, the data analytics market has split into two segments: the traditional _____ market and the newer __________ market.","analytics; data mining","mashup; visualization","BI; data discovery","BI; data mapping","BI; data discovery"
"IBM’s Watson Discovery Service is intended to decrease the amount of time analysts have to spend organizing and ________ data.","cleaning","querying","entering","mapping","cleaning"
"SAS made one of the boldest moves of any BI vendor by replacing its current enterprise BI platform with Visual Analytics, a new _____________ environment.","data discovery","heat mapping","forecasting","data descriptive","data discovery"
"Companies are investing in the latest data discovery solutions largely because of their _____________.","low costs","predefined drill-down paths","speed and flexibility","dimensions and measures","speed and flexibility"
"Tag clouds represent the ________ of words and terms by their sizes.","Average","Count","Relative frequency","Sum","Relative frequency"
"Which of the following statements about data analytics and visualization is false?","The ultimate goal of data analytics is to drive profits, and often that depends on learning how to manage assets.","It is easier to make sense of data than it is to collect the data.","Companies and/or entire industries are using data visualization and interactivity to improve decision speed and performance often with mobile displays.","Because of the demanding pace of their decisions, capital markets professionals use visualization for risk analysis, compliance monitoring, and fraud detection.","It is easier to make sense of data than it is to collect the data."
"A heat map uses _____________ to indicate trends or patterns in data.","Temperature","Trend lines","Color","Dials or gauges","Color"
"________ is a leading mobile reporting and data visualization app.","IBM SPSS Analytic Catalyst","Roambi Analytics","SAS","Tableau software","Roambi Analytics"
"A ________ is a technique for building applications that combine data from multiple sources to create an integrated experience.","News feed","Mashup","Mixed-media architecture","Visualization","Mashup"
"An application that integrates data from data stores, business systems, external data, and real-time news feeds is referred to as a(n) ____________.","Enterprise mashup","Enterprise visualization","Operational system","Business systems","Enterprise mashup"
"Which of the following is not an example of an enterprise data mashup?","Interactive dashboard","Drillable report","Heat map","GPS","GPS"
"In terms of benefits, mashup apps decrease __________ compared to traditional, custom software development.","IT implementation costs","System downtime","Computational errors","Interpretational errors","IT implementation costs"
"Which of the following is not a benefit of enterprise mashup apps?","Dramatically reduces time and effort needed to combine disparate data sources.","Users can define their own data mashups by combining fields from different data sources that were not previously modeled.","Users can access data from multiple competitor data warehouses to gain business intelligence.","Enables the building of complex queries by non-experts with a drag-and-drop query-building tool.","Users can access data from multiple competitor data warehouses to gain business intelligence."
"Using ________, nontechnical users can easily and quickly access, integrate, and display BI data from a variety of operational data sources, including those that are not integrated into the existing data warehouse, without having to understand the intricacies of the underlying data infrastructures, or schemas.","Self-service data mashup apps","Modular software","Object language","Macros","Self-service data mashup apps"
"Enterprise data mashups are created using _______ BI because new data sources can be added to a BI system quickly via direct links to operational data sources cleaning.","Agile","Responsive","Automatic","Rapid","Agile"
"_____________ give visual snapshots of an organization’s critical operational data or key performance indicators to spot problems, trends, outliers, opportunities, and patterns.","Enhanced spreadsheets","Business dashboards","Cloud based graphics","Enterprise graphics","Business dashboards"
"Key components of dashboards are design, API, access, and ______________.","Functionality","Mobility","Performance metrics","Accessibility","Performance metrics"
"The purpose of business dashboards is to provide users with a clear view of the ___________ values of KPIs and other operational metrics.","Past","Current","Projected","Desired","Current"
"An example of a metric that might be displayed on a Revenue dashboard would be:","Sales per day per channel","Trend of mobile vs. tablet traffic","Cash balance, actual vs. expected","On-time completion percent","Sales per day per channel"
"A benefit of ________ is that users no longer need to log into multiple applications to see how the business is performing.","BI","Business dashboards","E-commerce mashups","KPI","Business dashboards"
"Dashboard design is a critical factor because business users need to be able to ________.","Understand information at a glance and drill down to details","Configure KPIs each day to stay informed","Share what they learned using specific color-codes","All are critical factors","Understand information at a glance and drill down to details"
"Benefits of business dashboards include all of the following except ________.","Blind spots are minimized or eliminated.","Display the user’s critical metrics and measures.","Employees know their performance is tracked in near real time and can see their results.","Data security is enhanced because employees must log in to each account separately.","Data security is enhanced because employees must log in to each account separately."
"A ________ captures, manages, analyzes, and displays multidimensional geographic data, also called ________ data.","geographic information system; geospatial","geographic information system; operational","supply chain mashup; locational","supply chain mashup; analytical","geographic information system; geospatial"
"Geospatial data identify or map________.","Where things or people are, where they are going, and competitors' actions.","Only where things or people are and where they are going","Only where they are going","Only where things or people are","Where things or people are, where they are going, and competitors' actions."
"The ________ process converts postal addresses to geospatial data that can then be measured and analyzed.","geospatial","geocoding","pinpointing","zip","geocoding"
"With the intelligence provided by the ________, GM has increased sales despite cutting the advertising budget.","mashup","dashboard","Heat map","GIS","GIS"
"Unlike a flat map, a ________ generated map has many layers of information for many ways of thinking about a geographic space.","mashup","dashboard","GIS","Heat map","GIS"
"iBeacon allows Apple, or app developers leveraging Apple technology, to track users inside buildings where ________ transmissions may not reach.","Wi-Fi","cellular","radio","satellite","satellite"
"Which type of tool would an analyst use to find the average income in locations where the highest performing stores exist?","Geocoding","Enterprise Data Mashup","GIS","Data Discovery","GIS"
"Amazon.com's initial business model called for","mobile retailing that had a central warehouse with a large inventory.","virtual retailing that had no warehouses and no inventory.","virtual retailing with two large warehouses in high-volume locations.","mobile retailing that had numerous portable or rented warehouses with small inventories.","virtual retailing that had no warehouses and no inventory."
"Which of the following is not an EC service?","e-process","e-partnership management","e-markets","e-infrastructure","e-partnership management"
"Business partners, government, customers, and suppliers are","e-processes.","e-markets.","e-communities.","e-infrastructure.","e-communities."
"E-infrastructure services include each of the following except","systems development.","integration standards.","consulting services.","security.","security."
"Order fulfillment refers to each of the following except","providing price guarantees.","providing customers with what they have ordered.","providing all related customer services.","providing ordered products or services on time.","providing ordered products or services on time."
"Activities that support fulfillment of orders, such as packing, delivery, accounting, and logistics best defines","order fulfillment.","front-office operations.","logistics.","back-office operations.","back-office operations."
"The business processes, such as sales and advertising, which are visible to customers best defines","logistics.","order fulfillment.","back-office operations.","front-office operations.","front-office operations."
"The operations involved in the efficient and effective flow and storage of goods, services, and related information from point of origin to point of consumption best defines","order fulfillment.","logistics.","back-office operations.","front-office operations.","logistics."
"The logistics of EC systems, typically involving small parcels sent to many customers' homes best defines","e-delivery.","e-fulfillment.","e-shopping.","e-logistics.","e-logistics."
